Date,Sales Target
1/1/2020,"$400,000.00 "
2/1/2020,"$450,000.00 "
3/1/2020,"$500,000.00 "
4/1/2020,"$500,000.00 "
5/1/2020,"$550,000.00 "
6/1/2020,"$600,000.00 "
7/1/2020,"$600,000.00 "
8/1/2020,"$600,000.00 "
9/1/2020,"$600,000.00 "
10/1/2020,"$650,000.00 "
11/1/2020,"$650,000.00 "
12/1/2020,"$650,000.00 "
1/1/2021,"$450,000.00 "
2/1/2021,"$450,000.00 "
3/1/2021,"$450,000.00 "
4/1/2021,"$500,000.00 "
5/1/2021,"$500,000.00 "
6/1/2021,"$500,000.00 "
7/1/2021,"$500,000.00 "
8/1/2021,"$500,000.00 "
9/1/2021,"$500,000.00 "
10/1/2021,"$550,000.00 "
11/1/2021,"$550,000.00 "
12/1/2021,"$550,000.00 "
1/1/2022,"$700,000.00 "
2/1/2022,"$800,000.00 "
3/1/2022,"$800,000.00 "
4/1/2022,"$800,000.00 "
5/1/2022,"$900,000.00 "
6/1/2022,"$900,000.00 "
7/1/2022,"$1,000,000.00 "
8/1/2022,"$1,000,000.00 "
9/1/2022,"$1,000,000.00 "
10/1/2022,"$1,500,000.00 "
11/1/2022,"$1,500,000.00 "
12/1/2022,"$1,500,000.00 "
